date,sales_index,baseline,region
2025-10-16,80.68,85,Northwest
2025-10-17,103.12,85,South
2025-10-18,118.42,85,Central
2025-10-19,105.72,85,Northeast
2025-10-20,86.53,85,West
2025-10-21,75.14,85,South
2025-10-22,110.67,85,Northwest
2025-10-23,106.98,85,Northeast
2025-10-24,120.26,85,Central
2025-10-25,105.44,85,Northwest
2025-10-26,96.25,85,West
2025-10-27,121.55,85,West
2025-10-28,86.23,85,West
2025-10-29,123.2,85,South
2025-10-30,122.01,85,Northwest
2025-10-31,112.31,85,South
2025-11-01,96.69,85,West
2025-11-02,91.05,85,West
2025-11-03,80.2,85,West
2025-11-04,123.21,85,South
2025-11-05,80.07,85,Central
2025-11-06,112.04,85,Northeast
2025-11-07,107.45,85,Central
2025-11-08,114.47,85,Northeast
2025-11-09,124.52,85,Northeast
2025-11-10,119.52,85,South
2025-11-11,105.78,85,Northwest
2025-11-12,87.76,85,Northeast
2025-11-13,107.88,85,South
2025-11-14,76.51,85,Northwest
