date,viral_load,threshold,region
2025-10-16,77.59,70,Northwest
2025-10-17,71.31,70,West
2025-10-18,60.36,70,South
2025-10-19,69.32,70,West
2025-10-20,65.55,70,South
2025-10-21,65.51,70,West
2025-10-22,51.49,70,West
2025-10-23,55.47,70,West
2025-10-24,70.93,70,Central
2025-10-25,74.92,70,South
2025-10-26,77.88,70,Northwest
2025-10-27,72.56,70,Northeast
2025-10-28,67.68,70,South
2025-10-29,77.36,70,Northwest
2025-10-30,46.81,70,Northeast
2025-10-31,68.65,70,Northwest
2025-11-01,70.4,70,Northeast
2025-11-02,68.93,70,Northwest
2025-11-03,51.4,70,West
2025-11-04,77.31,70,South
2025-11-05,45.17,70,Northeast
2025-11-06,83.51,70,South
2025-11-07,83.39,70,Central
2025-11-08,68.0,70,Northeast
2025-11-09,64.29,70,Central
2025-11-10,59.22,70,Northwest
2025-11-11,49.17,70,South
2025-11-12,75.16,70,Northeast
2025-11-13,49.04,70,Central
2025-11-14,83.81,70,Central
